,会社名,対象,初年度年収
10,ジャパニアス株式会社 | 【全国11拠点展開】転勤なし／有給消化70％／リモートワーク7割,【全国に勤務地／U・I・Jターン歓迎／転勤ナシ】◆「ミドルウェア開発」または何らかの「パッケージ開発・導入」の実務経験をお持ちの方,400万円～900万円
11,セキュアエッジ株式会社 | 《Palo Alto Networks社 公式パートナー》在宅勤務制度有★,《学歴不問！未経験・第二新卒の方も歓迎します！》★インフラエンジニアの経験やセキュリティに関する経験があるorこれから学びたい方大歓迎！,380万円～900万円
12,ジャパニアス株式会社 | 最先端はココに◇日本ディープラーニング協会加盟◇残業月20H程,【カジュアル面談実施中！応募を迷われている方はぜひご参加を】◆「データ分析・統計等のAI業務」or「Pythonによる開発の実務経験」★20～60代活躍中,250万円～350万円
13,ジャパニアス株式会社 | ◇日本ディープラーニング協会加盟◇時間外100％支給◇転勤なし,「組込み制御システム開発」または「機械・電気・電子系エンジニア」の実務経験（3年以上）★大手の大規模プロジェクトに携わりたい方は大歓迎です！,350万円～1020万円
14,株式会社スタッフサービス | ＜実績No.1＞年間休日125日★未経験70％★産育休復帰多数,未経験入社の先輩が多数活躍中★「誰かをサポートする仕事がしたい」という方大歓迎です♪※ 残業ほぼなし＆年間休日125日＆有休でプライベートも充実,480万円～820万円
15,株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,【経験の浅い方も大歓迎！PG⇒SEへとステップアップ】◆ITエンジニアの実務経験※フェーズ不問★平均31.8歳、20～30代活躍中★人物・ポテンシャル重視,500万円～900万円
16,株式会社野村総合研究所 | （NRI） 東証一部上場★海外研修など豊富な研修制度あり,●大卒以上●システム開発やコンサルティングの経験のある方 ★学習意欲・成長意欲が豊かで、札幌にこだわって働きたい方 ★30代活躍中,400万円～800万円
17,インプレイス株式会社 | 《Palo Alto Networks社 公式パートナー》◆残業ほぼなし,テクニカルサポートや開発など、IT業界で何らかの実務経験をお持ちの方。★ネットワーク製品の経験者は歓迎！,480万円～1000万円
18,ジャパニアス株式会社 | 【22年連続黒字／幅広い大手と直接取引】◆残業月20H◆土日祝休,【U・Iターン歓迎／転勤なし／全国に勤務地】◆インフラエンジニアの経験5年以上◆リーダー経験★入社後のイメージが明確になる丁寧な面接を実施,350万円～1000万円
19,STARTEK | #完全週休二日制 #服装＆髪型自由 #WEB面接実施中 #残業ほぼなし,【新卒・第二新卒OK！準ビジネスレベル以上の英語スキルのある方】◆40歳まで(※)◆PCの基本スキル◆高卒以上◆8月9日入社が可能な方,250万円～350万円
20,ジャパニアス株式会社 | 【全国に11拠点展開】◆残業月平均20H◆テレワーク7割◆土日祝休,【今まで何度も、当社求人をご覧いただいている方へ】◆ネットワークまたはサーバ構築の経験者★CCNA・CCNP・LPIC・MCP等の資格をお持ちの方は歓迎！,480万円～800万円
21,株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,【学歴不問】ネットワーク・サーバ構築の経験者はぜひ(年数不問)　★今より良い環境を目指したい方◎★第6回<ワーク・ライフ・バランス大賞>大賞受賞,300万円～1000万円
22,アデコ株式会社 | Modis事業本部【帰社日＆日報なし★リモートワークも実施中！】,《学歴・年齢・転職回数不問／20～30代活躍中》ネットワーク／サーバの設計・構築・運用・監視・ヘルプデスクいずれかのご経験をお持ちの方※業種不問,306万円～1000万円
23,BCC株式会社 | 2021年7月、東証マザーズへ上場◆残業月10～20H◆年休120日以上,【人柄重視の採用＆学歴不問】◆35歳までの方◆未経験・第二新卒・正社員デビューの方も大歓迎★将来性バツグンのIT業界で働きたい方はぜひ！,379万円～462万円
24,株式会社アイネスト | #夏季休暇9連休＆年末年始休暇17連休 #有給取得率100%,【年間休日120日以上／業界未経験歓迎】◆大卒以上 ◆無形商材の営業経験をお持ちの方 ※金融機関での経験があれば活かせます！,330万円～700万円
25,アデコ株式会社 | Modis事業本部◇同期と約1ヶ月の技術研修あり/残業月平均13h,【未経験・第二新卒大歓迎／20代が活躍中】◆社会人経験をお持ちの方　◆PCの基本操作　※ITに興味のある方をお待ちしています！,500万円～900万円
26,株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,【高卒以上】IT業界経験半年以上・エンジニアとして活躍したい方 ★家族を安心させたい方◎★案件豊富★第6回<ワーク・ライフ・バランス大賞>大賞受賞,450万円～1000万円
27,株式会社リクルート | 旅行領域★年間休日145日／好きを活かせる仕事【正社員採用】,＜第二新卒大歓迎＞★自ら考え、動くことができる人や常に成長意欲がある方を歓迎します！※販売・飲食・IT・製造など前職は幅広い先輩が活躍中！,600万円～1000万円
28,株式会社アクトプロブレインズ | 過去全員が前職給与UP*リモート＆フレックス推奨*残業月平均10h,【スキルに見合った待遇でお迎えします！】◎インフラの設計・構築経験3年以上　★メリハリ勤務⇒土日祝休み・年間休日120日・柔軟なフレックス勤務★,280万円～600万円
29,株式会社システムリサーチ | 東京システム事業部／東証一部上場◆リモートワーク実施中,【学歴不問/経験浅い方も歓迎】◎開発またはインフラエンジニア経験ある方（未経験の方もチャレンジ可能）★有給取得率は約75％★年休123日です！,360万円～720万円
30,ジャパニアス株式会社 | 大手と取引実績多数◇全国募集◇社員数1200名◇テレワーク7割,【開発経験10年・基本給52万円以上の実績あり】◆何らかの開発経験5年以上◆リーダー経験のある方★さらにステップアップしたい方は大歓迎です！,250万円～550万円
31,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,【学歴不問】何らかのITインフラの業務経験をお持ちの方★大型案件あり★第6回<ワーク・ライフ・バランス大賞>大賞受賞=家族も安心できる！,350万円～710万円
32,株式会社クレディセゾン | 【東証一部上場】テレワーク/フルフレックス/賞与年平均6.5ヶ月,【幅広い年代が活躍中/デザイン事務所・制作会社など経歴は不問】◎デザインの実務経験者⇒Web・グラフィック・プロダクトいずれも可★,231万円～365万円
33,株式会社アウトソーシングテクノロジー | テクノロジーを学ぶ4週間研修あり／20代30代活躍中／WEB面接可,＜高卒以上／文系・理系は全く不問＞★完全初心者向けの研修・育成プロジェクトから始めましょう！◆エンジニアを目指す方を本気で育てます！,600万円～1000万円
34,IFS株式会社 | ★リモートワークも実施中★抗体検査可能★1日6時間勤務を目指す,《応募条件に合う方全員面接》◆ITエンジニア経験やプログラミング経験がある方（言語・分野不問）◆今よりもワンランク上のポジションを目指したい方,350万円～600万円
35,フォーザウィン株式会社 | 未経験からじっくり知識やスキルを身に付け成長★完全週休2日,【積極面接中！】★30歳以下の方(※) ★未経験・第二新卒・既卒者歓迎！,380万円～570万円
36,株式会社オルトプラス | <東証一部上場の安定成長企業>★残業月20h以下★土日祝休み,【ゲーム関連職で1年以上のご経験がある方】◎「何がしたいか、どんなクリエイターになりたいか」を考えられる方◎20～30代が大勢活躍中！,250万円～350万円
37,株式会社メイテックフィルダーズ | 東証一部上場グループ／年収100万UPした先輩も！設計業務が93％,【キャリアが浅くても活躍可！フォロー体制を整えています】★機械系or電気・電子系の設計開発/各種解析/生産技術業務等の経験をお持ちの方(年数不問),480万円～710万円
38,パーソルワークスデザイン株式会社 | 【 宮崎アウトソーシングセンター限定募集】,【年齢不問 × 性別不問 × 経験不問 】◆安心の環境下でなが～く働きませんか？ ◆自分の得意分野が活かせる！ ◆語学スキルを活かしたい方も是非！,500万円～1000万円
39,株式会社クレディセゾン | 【東証一部上場】テレワーク/フルフレックス/賞与年平均6.5ヶ月,＜エンタープライズ系・ベンチャー系いずれの出身者も活躍中＞◎プログラマーの経験ある方（開発・インフラ不問）★Slack等で意見交換も活発！,280万円～500万円
40,株式会社セラク | 大阪府緊急雇用対策に賛同 ◇東証一部上場・創業34年,【第二新卒歓迎◆業界経験・IT知識不問】営業、営業サポート、事務、カスタマーサポート等の経験を活かせます！★営業未経験者も歓迎★平均年齢29.9歳,700万円～1000万円
41,株式会社マイナビ | 就職や転職などのあらゆる人生の岐路を支えるサービスを提供,＜未経験・第二新卒歓迎＞◆1年以上の社会人経験をお持ちの方 ※人物重視の採用です！◆要普通免許（東京以外）◆基本的なPCスキル,300万円～600万円
42,パーソルテンプスタッフ株式会社 | 大阪府緊急雇用対策に賛同/賞与年2回★研修充実★在宅ワークあり,【高卒以上◆事務へのキャリアチェンジを応援】未経験OK！旅行・飲食・ホテル・フィットネス、販売・受付から事務デビューした先輩多数♪,400万円～800万円
43,日鉄ソリューションズ株式会社 | 【東証一部上場/ユーザー系SIer】◎リモートワーク実施,◆IT業界での営業経験（SIer営業やSES営業の経験者歓迎）《男女ともに活躍中！産休育休の取得・復帰実績も多数あります！》,200万円～400万円
